TRAAGOZ128F92EB3D4,1,ce4ea16e3fcdd491bf4ae0fe79b4fe1db417969a,David Archuleta,You Can, take never help feet show good things come wait tell tell alone tell feelin mistake cause anyone make fall love save one else could wish upon tomorrow tonight would never end asked would follow pretend cause anyone make fall love baby look tell see eyes someone could love cause everything brought well seems clear baby one dreamin anyone make fall love save one else could wish upon tomorrow tonight would never end asked would follow pretend cause anyone make fall love take sailin deepest eyes bring knees make cry one ever done everything lie know yes know begins tell never end fool one else could wish upon tomorrow tonight would never end asked would follow pretend anyone make fall love show good things come wait
TRAAKAS128F4246013,1,af2b930326b90a98e0b57b84b7bb4c2f290e7db8,Porcupine Tree,Waiting,"Waiting 
To be born again
Wanting
The saddest kind of pain
Waiting for the day
When I will crawl away

Nothing
Is what I feel
Waiting
For the drugs to make it real
Waiting for the day
When I will crawl away

Waiting
To be disciplined
Aching
For your nails across my skin
Waiting for the day
When I will crawl
Waiting for the day
When I will crawl away"
TRAAQLF128F427822C,1,e9cef7a206da57a6d48fd6eece47a900f35ab7bf,Willie Nelson,Ole Buttermilk Sky, ole buttermilk sky keepin eye peeled good word tonight gon na mellow tonight ole buttermilk sky see little donky happy christmas tree headed one love gon na pop question question darling easy easy bank ole buttermilk sky telling know keep mind tonight keep brushing clouds sight ole buttermilk sky fail needing hang moon hitching post hitch one love try tell lie mellow bright tonight buttermilk sky ole buttermilk sky fail mellow bright tonight buttermilk sky
TRAAXUD128F4259FAA,1,0aafd89cee2b056303c57ced5efaa1d94ca31d59,James Dean Bradfield,The Wrong Beginning, please ever tell really want know could different would blue eyes draw perfect circle perfect girl came half light surrendering peace mind chose wrong beginning stand chance coming first payback everybody wants know draw perfect circle perfect girl came half light surrendering peace mind draw perfect circle perfect girl came half light surrendering peace mind
TRAAYGH128F92ECD16,1,7204639586ec60bc1fac2e3eceef401b320d4da6,The Shirelles,Will You Love Me Tomorrow, tonight mine completely give love sweetly tonight light love eyes love tomorrow lasting treasure moment pleasure believe magic sighs still love tomorrow tonight words unspoken say one heart broken night meets morning sun like know love love sure tell ask still love tomorrow tell ask still love tomorrow still love tomorrow still love tomorrow
TRABHTY12903CCE195,1,acebf9b6d9dfaa7d6853b43a6b16cad26b179c81,Chris Rea,The Blue Cafe, world miles endless roads leaves trail broken dreams hear say meet blue cafe one knows meets one care cards fate older shows younger one dares take chance return going want know new want go seen know new going want go meet blue cafe cost great price high take know say goodbye innocence inexperience mean nothing one knows meets one care hear say meet blue cafe meet blue cafe
TRABHUX12903CC6E24,1,3b8a125d86c91a8132ab278187a2585d9b5f3482,Frank Sinatra,The Song Is You, hear music look beautiful theme every dream ever knew deep heart hear play feel start melt away hear music touch hand beautiful melody enchanted land deep heart hear say day alone heard lovely strain alone heard glad refrain must forever inside let go let know let know song heart would sing beautiful rhapsody love youth spring music sweet words true song
TRABHWT128F4296097,1,f4c8d9964d85df43bee775715ef547ba9551e3ec,Patrick Park,Everyone's in Everyone, blessed loveless cold kind stressed thankless deaf blind pained joyless fork road go loved families sleeping cold everyone everyone blessed restless dumb wise young old see world tired eyes lost found saved depraved poor rich sure love made everyone everyone
TRABLRC128F42930A1,1,d594559af6c35951c1d708a7238b76c2af5928ac,Crash Test Dummies,A Worm's Life, though think cold slimy got nice home tasted best guacamole siesta noon cool soil worm life easy lay low sight sometimes hot cooking one wants salad comes breeze evening men light cigars scent fills air worm life easy lay low sight rains come ground fills water must come surface air plucked wet slime dropped tequila lay stupor time one fine night gulped shot worm life easy lay low sight
TRABMPO12903CA4BDC,1,fd99e3cd162c3bb3d55543355347b3447e3b5521,Mary Chapin Carpenter,He Thinks He'll Keep Her, mary chapin carpenter schlitz makes coffee makes bed laundry keeps fed twenty one wore mother lace said forever smile upon face car pool ptas doctors dentists drives day twenty nine delivered number three every christmas card showed perfect family everything runs right time years practice design spit polish till shines thinks keep everything benign safest place ever find god forbid change mind thinks keep packs suitcase sits waits expression upon face thirty six met door said sorry love anymore everything runs right time years practice design spit polish till shines thinks keep everything benign safest place ever find god forbid change mind thinks keep fifteen years job one raise pay typing pool minimum wage everything runs right time years practice design spit polish till shines thinks keep everything benign safest place ever find least change mind thinks keep
